Year,Month,Day,Rainfall,Temp
2014,1,28,0,31.5
2014,1,29,0,33.5
2014,1,30,0,34.6
2014,1,31,0,29.7
2014,2,1,0,28.5
2014,2,2,0,32.5
2014,2,3,0,33.8
2014,2,4,0,37.5
2014,2,5,0,32.3
2014,2,6,0,32.2
2014,2,7,0,30
2014,2,8,0,29.3
2014,2,9,0,33.1
2014,2,10,0,29.2
2014,2,11,0,33.3
2014,2,12,0,34.2
2014,2,13,0,34.6
2014,2,14,0,32.3
2014,2,15,0,32.3
2014,2,16,0,28.9
2014,2,17,0,33
2014,2,18,0,35.3
2014,2,19,0,37
2014,2,20,0,37.4
2014,2,21,0,34.9
2014,2,22,0,35.3
2014,2,23,0,35.3
2014,2,24,0,34.2
2014,2,25,0,31.8
2014,2,26,0,30.6
2014,2,27,0,34.6
2014,2,28,0,36.6
2014,3,1,0,38
2014,3,2,0,37.5
2014,3,3,0,30.8
2014,3,4,0,32.7
2014,3,5,0,32
2014,3,6,0,35.5
2014,3,7,0,37.7
2014,3,8,0,25.7
2014,3,9,0,25.1
2014,3,10,0,28.8
2014,3,11,0,33.6
2014,3,12,0,37.5
2014,3,13,0.2,26.9
2014,3,14,0,24.8
2014,3,15,0,24
2014,3,16,0,26.8
2014,3,17,0,28.5
2014,3,18,0,30
2014,3,19,0,31.9
2014,3,20,0,31.6
2014,3,21,1,28.1
2014,3,22,0,31.7
2014,3,23,0,33.9
2014,3,24,0,34.2
2014,3,25,0.2,27.5
2014,3,26,0.4,30.6
2014,3,27,0,28.4
2014,3,28,0,33.5
2014,3,29,0,24.9
2014,3,30,5.2,23.5
2014,3,31,0.4,23.4
2014,4,1,1,24
2014,4,2,0,25.2
2014,4,3,0,27.6
2014,4,4,0,30.2
2014,4,5,0,31.4
2014,4,6,0,25.8
2014,4,7,0,25.2
2014,4,8,0,30.4
2014,4,9,0,30.9
2014,4,10,0,32.3
2014,4,11,0,34.6
2014,4,12,0,32.3
2014,4,13,0,33
2014,4,14,0,29.2
2014,4,15,0,25.4
2014,4,16,0,24.9
2014,4,17,0,25.3
2014,4,18,0,28
2014,4,19,0,25.2
2014,4,20,0,24.5
2014,4,21,0,22.9
2014,4,22,0,23.7
2014,4,23,0,26
2014,4,24,0,24
2014,4,25,0.2,24.8
2014,4,26,0,23
2014,4,27,13.4,23.6
2014,4,28,9.6,19.4
2014,4,29,0.4,20.4
2014,4,30,0,22.4
2014,5,1,0,21.7
2014,5,2,0,20.9
2014,5,3,0,23.6
2014,5,4,0,22.1
2014,5,5,1.6,19.8
2014,5,6,0,22.9
2014,5,7,1.8,21.3
2014,5,8,47.2,19.7
2014,5,9,4.6,22.1
2014,5,10,10,21.9
2014,5,11,0.6,23.8
2014,5,12,0.2,23.5
2014,5,13,2,22.3
2014,5,14,0,21.6
2014,5,15,0,22.4
2014,5,16,0,22.9
2014,5,17,0,23.3
2014,5,18,0.2,21.3
2014,5,19,1.4,21.8
2014,5,20,2.2,23
2014,5,21,12.8,21.3
2014,5,22,0.2,22.6
2014,5,23,38.6,21.2
2014,5,24,11.6,20.5
2014,5,25,2.8,20.6
2014,5,26,5.4,20.6
2014,5,27,0.4,19.9
2014,5,28,9,19.5
2014,5,29,0,20.2
2014,5,30,0,19.1
2014,5,31,0,17
2014,6,1,1,21.4
2014,6,2,1.2,21.7
2014,6,3,0.2,21.6
2014,6,4,0,22.4
2014,6,5,0,24.6
2014,6,6,0,23.7
2014,6,7,0,20.6
2014,6,8,0,20.4
2014,6,9,0.8,23.8
2014,6,10,8.8,16.8
2014,6,11,0,17.4
2014,6,12,0,18.6
2014,6,13,0,17.9
2014,6,14,0,18.2
2014,6,15,0,19.6
2014,6,16,0,21.7
2014,6,17,0,18.6
2014,6,18,50.6,18.4
2014,6,19,3.4,18.6
2014,6,20,9,19.7
2014,6,21,0.2,19.8
2014,6,22,14.8,16.3
2014,6,23,1,16.2
2014,6,24,0,17.6
2014,6,25,0,20.3
2014,6,26,0,20.6
2014,6,27,2.6,17.8
2014,6,28,0,15.6
2014,6,29,0,16.2
2014,6,30,0,22.4
